moves: 50792, loss: 441.66607666015625, accuracy: 0.4375, average_max_q: 7.714386775686579
moves: 50796, loss: 933.3529663085938, accuracy: 0.46875, average_max_q: 5.104228504249477
moves: 50800, loss: 1289.884033203125, accuracy: 0.375, average_max_q: 4.540777503795835
moves: 50804, loss: 934.152587890625, accuracy: 0.3125, average_max_q: 13.072044532981817
moves: 50808, loss: 812.5435791015625, accuracy: 0.5, average_max_q: 3.2513040071498835
moves: 50812, loss: 1226.3548583984375, accuracy: 0.65625, average_max_q: 4.152673068463627
moves: 50816, loss: 1198.8052978515625, accuracy: 0.46875, average_max_q: 0.9249829461215996
moves: 50820, loss: 535.4673461914062, accuracy: 0.40625, average_max_q: 9.255751446360955
moves: 50824, loss: 862.265869140625, accuracy: 0.59375, average_max_q: 8.736899059172718
moves: 50828, loss: 829.7849731445312, accuracy: 0.40625, average_max_q: 11.131373435619752
moves: 50832, loss: 1146.728271484375, accuracy: 0.5, average_max_q: 4.562327771267156
moves: 50836, loss: 1219.3834228515625, accuracy: 0.53125, average_max_q: 8.745076867938042
moves: 50840, loss: 492.287353515625, accuracy: 0.28125, average_max_q: 14.727450303830484
moves: 50844, loss: 1300.3643798828125, accuracy: 0.28125, average_max_q: 8.87447325044559
moves: 50848, loss: 1238.099365234375, accuracy: 0.5, average_max_q: 2.5483258713036774
moves: 50852, loss: 837.1761474609375, accuracy: 0.46875, average_max_q: 2.1837379849312124
moves: 50856, loss: 27.28042984008789, accuracy: 0.46875, average_max_q: 5.779547055157308
moves: 50860, loss: 5.754635810852051, accuracy: 0.40625, average_max_q: 0.591325393121224
moves: 50864, loss: 406.24530029296875, accuracy: 0.40625, average_max_q: 2.1658180271362655
moves: 50868, loss: 426.1104431152344, accuracy: 0.3125, average_max_q: 3.920443437586073
moves: 50872, loss: 1326.12060546875, accuracy: 0.40625, average_max_q: 13.413068891363217
moves: 50876, loss: 758.108154296875, accuracy: 0.375, average_max_q: 3.359450525278225
moves: 50880, loss: 901.6754150390625, accuracy: 0.53125, average_max_q: 2.279395682783798
moves: 50884, loss: 808.4125366210938, accuracy: 0.46875, average_max_q: 5.45024105780758
moves: 50888, loss: 401.6582946777344, accuracy: 0.46875, average_max_q: -0.2652752068359405
moves: 50892, loss: 426.96923828125, accuracy: 0.28125, average_max_q: 5.027239467948675
moves: 50896, loss: 406.26214599609375, accuracy: 0.40625, average_max_q: 0.6113552220631391
moves: 50900, loss: 1038.253173828125, accuracy: 0.625, average_max_q: 2.5183066945988686
moves: 50904, loss: 428.79998779296875, accuracy: 0.53125, average_max_q: -0.17221359096001843
moves: 50908, loss: 109.6402587890625, accuracy: 0.3125, average_max_q: 12.453236693236976
moves: 50912, loss: 873.508056640625, accuracy: 0.34375, average_max_q: 5.268364830716747
moves: 50916, loss: 696.3230590820312, accuracy: 0.4375, average_max_q: 0.6163466001395141
moves: 50920, loss: 23.036182403564453, accuracy: 0.25, average_max_q: 2.881438401527703
moves: 50924, loss: 548.5823364257812, accuracy: 0.53125, average_max_q: 6.955777635239064
moves: 50928, loss: 855.7373657226562, accuracy: 0.46875, average_max_q: 3.46558659633156
moves: 50932, loss: 457.48016357421875, accuracy: 0.4375, average_max_q: 5.247093099728226
moves: 50936, loss: 944.7615966796875, accuracy: 0.40625, average_max_q: 19.945674126874653
moves: 50940, loss: 437.71978759765625, accuracy: 0.3125, average_max_q: 3.4833467400691003
moves: 50944, loss: 784.6084594726562, accuracy: 0.5, average_max_q: -1.0802323461743069
moves: 50948, loss: 462.92486572265625, accuracy: 0.40625, average_max_q: 5.045468088786584
